SERIAL,DEPARTMENTID,HALLSTATUS,DISTRICT,THANA,SEX,PLACEOFBIRTH,STARTINGACADEMICYEAR2,ADMISSIONDATE,COURSENUMBER,LETTERGRADE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,PARTBMARKS,TOTALNUMBER,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,MATH 221,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,ME 141,B,30,32,74,45,181,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,ME 160,B,,,,,95,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,PHY 102,A-,,,,,109,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,PHY 111,A-,30,42,82,56,210,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,PHY 155,A-,30,49,54,87,220,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,SHOP 120,A+,,,,,122,1,2,3,3,2,20,40
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 100,B+,,,,,97,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 101,A,30,46,81,75,232,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 102,A+,,,,,124,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 103,A-,40,76,94,76,286,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 200,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 201,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 202,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 203,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 204,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 210,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CE 211,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CHEM 103,B-,30,48,47,48,173,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,CHEM 114,A+,,,,,123,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,EEE 165,A+,30,52,87,77,246,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,HUM 185,B+,20,32,41,41,134,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,HUM 274,A-,,,,,107,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,HUM 353,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,HUM 375,A+,20,33,56,54,163,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,MATH 137,A+,30,51,95,73,249,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,MATH 139,A-,30,46,62,84,222,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,MATH 237,,,,,,,2,1,,,3,,
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,PHY 101,A-,30,39,76,70,215,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,PHY 102,A+,,,,,121,1,1,4,4,1,19,19
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,PHY 151,A-,30,46,61,81,218,1,2,4,4,2,20,38
"14,254",CE,Resident,Pabna,Isurdi,M,Pabna,,03/27/2012 00:00:00,SHOP 132,A,,,,,116,1,2,4,4,2,20,38
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 100,B-,,,,,84,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 101,F,30,17,33,22,102,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 102,C+,,,,,79,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 103,C,36,62,45,43,186,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 200,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 201,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 202,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 203,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 204,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 210,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CE 211,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CHEM 103,D,30,35,27,28,120,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,CHEM 114,B,,,,,90,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,EEE 165,C+,30,48,6,66,150,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,HUM 185,B,20,26,28,45,119,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,HUM 274,B+,,,,,101,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,HUM 353,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,HUM 355,B-,20,32,17,47,116,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,MATH 137,C+,30,32,59,31,152,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,MATH 139,D,27,33,21,38,119,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,MATH 237,,,,,,,1,2,,,3,,
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,PHY 101,D,30,42,17,30,119,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,PHY 102,A-,,,,,105,1,1,3,3,1,16,16
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,PHY 151,C,30,38,21,55,144,1,2,3,3,2,20,35
"14,255",CE,Attached,Dhaka,Mirpur,M,Dhaka,,03/27/2012 00:00:00,SHOP 132,A,,,,,119,1,2,3,3,2,20,35
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CHEM 113,A,27,54,71,82,234,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CHEM 114,A,,,,,112,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 100,A+,,,,,184,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 103,A-,27,56,97,36,216,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 105,B,18,52,55,57,182,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 106,A+,,,,,123,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 201,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 202,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 203,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 204,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 205,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,CSE 206,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,EEE 163,B+,30,38,66,61,195,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,EEE 164,A,,,,,114,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,EEE 263,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,EEE 264,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,HUM 175,A-,30,48,71,62,211,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,HUM 272,A-,,,,,111,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,MATH 141,B+,30,55,46,68,199,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,MATH 143,B,32,73,55,84,244,1,2,3,4,2,21,40
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,MATH 241,,,,,,,2,1,,,3,,
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,ME 160,A+,,,,,120,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,ME 165,B+,30,39,69,61,199,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,PHY 102,A-,,,,,109,1,1,4,4,1,20,20
"14,256",CSE,Resident,Faridpur,Boalmari,M,Faridpur,,03/27/2012 00:00:00,PHY 109,A+,40,76,110,96,322,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CHEM 113,B,27,38,55,66,186,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CHEM 114,A+,,,,,120,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 100,A+,,,,,165,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 103,B,27,43,69,52,191,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 105,B-,30,51,57,38,176,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 106,A,,,,,115,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 201,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 202,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 203,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 204,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 205,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,CSE 206,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,EEE 163,A,30,51,76,73,230,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,EEE 164,A+,,,,,120,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,EEE 263,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,EEE 264,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,HUM 175,B,15,44,53,69,181,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,HUM 272,A-,,,,,111,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,MATH 141,A,30,46,79,78,233,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,MATH 143,C+,32,35,64,71,202,1,2,3,3,2,21,40
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,MATH 241,,,,,,,2,1,,,3,,
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,ME 160,A-,,,,,105,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,ME 165,A-,30,29,79,82,220,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,PHY 102,A+,,,,,120,1,1,4,4,1,20,20
"14,257",CSE,Attached,Dhaka,Lalbag,M,Dhaka,,03/27/2012 00:00:00,PHY 109,B+,40,62,78,78,258,1,1,4,4,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CHEM 113,B+,30,45,69,60,204,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CHEM 114,A,,,,,112,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 100,B+,,,,,134,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 103,A-,30,43,81,68,222,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 105,B,30,50,68,39,187,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 106,B,,,,,90,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 201,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 202,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 203,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 204,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 205,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,CSE 206,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,EEE 163,A+,30,46,95,69,240,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,EEE 164,B+,,,,,102,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,EEE 263,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,EEE 264,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,HUM 175,B-,24,46,47,57,174,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,HUM 272,A,,,,,115,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,MATH 141,B-,30,32,67,38,167,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,MATH 143,B+,36,65,52,109,262,1,2,3,3,2,21,40
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,MATH 241,,,,,,,2,1,,,3,,
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,ME 160,A,,,,,113,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,ME 165,B,30,29,63,57,179,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,PHY 102,A-,,,,,105,1,1,3,3,1,20,20
"14,258",CSE,Resident,Kushtia,Kustia hq,M,Kushtia,,03/27/2012 00:00:00,PHY 109,B,40,68,96,49,253,1,1,3,3,1,20,20
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,CE 106,A-,,,,,109,1,1,3,3,1,17,17
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,CHEM 101,B+,30,46,64,54,194,1,2,3,3,2,21,38
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,CHEM 114,A,,,,,115,1,2,3,3,2,21,38
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,CSE 109,B-,30,59,39,40,168,1,1,3,3,1,17,17
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,CSE 110,B+,,,,,98,1,1,3,3,1,17,17
"14,259",EEE,Attached,Jamalpur,Dewangonj,M,Jamalpur,,03/27/2012 00:00:00,EEE 101,B,30,28,50,72,180,1,1,3,3,1,17,17
